0,92,67
1,91,66
2,91,65
3,89,64
4,89,64
5,88,65
6,87,64
7,89,65
8,87,64
9,89,63
10,87,64
11,87,63
12,87,65
13,87,65
14,89,64
15,88,65
16,87,64
17,88,60
18,87,63
19,88,63
20,89,64
21,90,66
22,88,63
23,90,63
24,92,65
25,92,63
26,91,65
27,92,65
28,93,63
29,96,63
30,94,61
31,94,61
32,94,61
33,95,62
34,94,60
35,95,59
36,97,61
37,94,63
38,95,63
39,94,64
40,93,64
41,93,65
42,92,65
43,91,63
44,89,66
45,85,65
46,82,68
47,81,67
48,78,68
49,76,68
50,75,67
51,73,68
52,71,67
53,69,70
54,66,71
55,66,70
56,66,70
57,65,69
58,63,71
59,62,72
60,64,70
61,61,70
62,61,71
63,60,71
64,59,69
65,61,72
66,63,70
67,61,69
68,60,71
69,61,72
70,62,69
71,61,68
72,61,67
73,60,66
74,62,64
75,63,64
76,64,61
77,66,59
78,65,59
79,67,59
80,68,60
81,70,61
82,72,58
83,74,57
84,77,60
85,79,57
86,84,58
87,85,58
88,88,58
89,93,60
90,96,59
91,98,59
92,103,61
93,105,60
94,109,61
95,108,61
96,109,62
97,110,62
98,110,62
99,109,63
100,108,61
101,107,62
102,106,61
103,102,62
104,100,60
105,97,64
106,94,61
107,92,62
108,90,62
109,87,62
110,86,59
111,83,59
112,80,59
113,80,59
114,80,59
115,79,55
116,77,58
117,78,58
118,78,58
119,77,58
120,76,58
121,78,59
122,76,60
123,76,60
124,76,60
125,76,59
126,75,56
127,75,56
128,74,56
129,75,55
130,74,54
131,75,54
132,74,56
133,73,57
134,74,56
135,74,56
136,75,56
137,74,54
138,75,57
139,77,56
140,78,56
141,77,54
142,79,55
143,81,56
144,80,53
145,80,54
146,82,56
147,81,56
148,81,56
149,81,55
150,82,53
151,81,55
152,83,54
153,82,54
154,82,53
155,81,55
156,80,54
157,82,53
158,84,55
159,83,55
160,81,54
161,82,56
162,83,55
163,81,54
164,80,54
165,81,53
166,83,55
167,84,57
168,83,60
169,83,60
170,85,60
171,85,62
172,85,64
173,85,64
174,86,64
175,87,63
176,87,64
177,85,65
178,86,66
179,86,64
180,86,65
181,87,64
182,87,65
183,88,65
184,89,67
185,90,67
186,92,66
187,93,68
188,93,69
189,92,71
190,92,73
191,92,73
192,94,76
193,94,74
194,96,73
195,100,77
196,100,78
197,103,80
198,103,80
199,105,78
200,105,79
201,108,81
202,108,83
203,110,84
204,112,84
205,113,81
206,115,81
207,117,82
208,116,79
209,116,78
210,115,80
211,112,75
212,108,72
213,105,72
214,100,70
215,96,69
216,93,67
217,88,65
218,86,65
219,81,62
220,78,63
221,75,62
222,73,61
223,71,61
224,68,59
225,66,58
226,65,59
227,65,59
228,61,61
229,61,60
230,63,58
231,65,59
232,68,61
233,70,63
234,71,65
235,73,67
236,75,69
237,76,66
238,79,67
239,81,69
240,84,68
241,85,67
242,88,70
243,91,69
244,88,70
245,89,70
246,90,71
247,90,70
248,90,70
249,90,71
250,87,68
251,87,68
252,85,67
253,85,68
254,84,69
255,83,69
256,87,66
